type,type_formatted,files
summary|ʿarzıhāl,ʿarzıhāl,DSCN0586|DSCN0590|DSCN0445|DSCN1804|DSCN0927|DSCN1708|DSCN9009
mürāsele|summary,mürāsele,DSCN2391|DSCN1908|DSCN2179|DSCN2409|DSCN1857|DSCN2379|DSCN2231|DSCN2436|DSCN2387|DSCN2397|DSCN2341|DSCN2425|DSCN2021|DSCN2008|DSCN2395|DSCN2090|DSCN0644|DSCN1994|DSCN2279|DSCN2244|DSCN2330|DSCN1834|DSCN2454|DSCN0243|DSCN1983|DSCN1941|DSCN2051|DSCN2469|DSCN0642|DSCN2257|DSCN2336|DSCN2452|DSCN2042|DSCN1990|DSCN2296|DSCN2094|DSCN9052|DSCN2311|DSCN2474|DSCN2306|DSCN0267|DSCN2100|DSCN0306|DSCN2317|DSCN2459|DSCN2088|DSCN9136|DSCN0098|DSCN2472|DSCN2367|DSCN9025|DSCN2364|DSCN2359|DSCN1654|DSCN2361|DSCN0984|DSCN1906|DSCN9143|DSCN2438|DSCN2028|DSCN1939|DSCN2411|DSCN1871
emin|summary,emin,DSCN2385|DSCN9213|DSCN0237|DSCN2150|DSCN9011|DSCN9039|DSCN0196|DSCN0182|DSCN9171|DSCN0141|DSCN9165|DSCN9159|DSCN1934|DSCN9367|DSCN0154|DSCN2145|DSCN0578|DSCN0222|DSCN0220|DSCN2147|DSCN1937|DSCN0368|DSCN9173|DSCN0143|DSCN0194|DSCN2152|DSCN9007|DSCN9013|DSCN9239|DSCN1846|DSCN9229|DSCN9215|DSCN2354|DSCN2156|DSCN0184|DSCN0190|DSCN0147|DSCN1932|DSCN0379|DSCN9374|DSCN2023|DSCN9162|DSCN2143|DSCN0224|DSCN0230|DSCN0218|DSCN0595|DSCN1879|DSCN2419|DSCN0226|DSCN2343|DSCN2141|DSCN2035|DSCN1919|DSCN9362|DSCN9377|DSCN1930|DSCN0145|DSCN0151|DSCN0179|DSCN9149|DSCN0186|DSCN0192|DSCN2154|DSCN9217|DSCN1688|DSCN2319|DSCN2133|DSCN9066|DSCN2127|DSCN0136|DSCN2053|DSCN0122|DSCN9310|DSCN0320|DSCN0308|DSCN9338|DSCN9073|DSCN9098|DSCN0269|DSCN9259|DSCN9271|DSCN9265|DSCN0241|DSCN0282|DSCN9273|DSCN0257|DSCN9267|DSCN2332|DSCN0096|DSCN2118|DSCN9059|DSCN9105|DSCN9111|DSCN2078|DSCN9313|DSCN2246|DSCN2253|DSCN9138|DSCN2131|DSCN2125|DSCN9070|DSCN9289|DSCN0291|DSCN2445|DSCN9128|DSCN9114|DSCN0440|DSCN2242|DSCN0131|DSCN2120|DSCN9075|DSCN2108|DSCN0086|DSCN9263|DSCN0253|DSCN9277|DSCN0284|DSCN0286|DSCN9249|DSCN9261|DSCN9275|DSCN0251|DSCN0090|DSCN9077|DSCN2122|DSCN8976|DSCN8989|DSCN9329|DSCN0318|DSCN0481|DSCN9102|DSCN9116|DSCN9062|DSCN2137|DSCN9245|DSCN0261|DSCN0275|DSCN9251|DSCN9279|DSCN0249|DSCN2338|DSCN9090|DSCN0088|DSCN0077|DSCN0117|DSCN1976|DSCN9331|DSCN8991|DSCN9325|DSCN8984|DSCN0300|DSCN0314|DSCN9132|DSCN2113|DSCN9293|DSCN9287|DSCN9291|DSCN9285|DSCN0289|DSCN2313|DSCN9093|DSCN9050|DSCN2139|DSCN0100|DSCN2071|DSCN9130|DSCN9118|DSCN0896|DSCN0302|DSCN0316|DSCN8993|DSCN9333|DSCN9327|DSCN8987|DSCN9125|DSCN9079|DSCN9086|DSCN9247|DSCN9253|DSCN0277|DSCN0273|DSCN9257|DSCN9243|DSCN9082|DSCN9041|DSCN9109|DSCN9323|DSCN0312|DSCN8982|DSCN2061|DSCN9120|DSCN0138|DSCN2115|DSCN2129|DSCN9068|DSCN0919|DSCN9281|DSCN9295|DSCN9283|DSCN1807|DSCN9297|DSCN9095|DSCN9122|DSCN9308|DSCN0310|DSCN0304|DSCN8980|DSCN9335|DSCN0107|DSCN9043|DSCN9255|DSCN0265|DSCN9241|DSCN9269|DSCN0216|DSCN1646|DSCN9018|DSCN1915|DSCN9353|DSCN0149|DSCN9145|DSCN0175|DSCN2158|DSCN2164|DSCN9233|DSCN0203|DSCN9227|DSCN9231|DSCN9225|DSCN2416|DSCN0201|DSCN2199|DSCN2172|DSCN0188|DSCN0177|DSCN2006|DSCN0375|DSCN0348|DSCN0360|DSCN9152|DSCN0162|DSCN2167|DSCN0228|DSCN2371|DSCN0214|DSCN2349|DSCN0210|DSCN2375|DSCN2177|DSCN0199|DSCN0172|DSCN9341|DSCN0167|DSCN9023|DSCN2162|DSCN0205|DSCN9235|DSCN9223|DSCN0207|DSCN9237|DSCN2160|DSCN0366|DSCN9356|DSCN9140|DSCN0164|DSCN2001|DSCN9034|DSCN9020|DSCN0212|DSCN1865
iʿlām|note|summary,None,DSCN0592
emin,emin,DSCN2434|DSCN2030|DSCN9038|DSCN0236|DSCN2390|DSCN0181|DSCN9370|DSCN9358|DSCN1936|DSCN2378|DSCN9348|DSCN9028|DSCN2381|DSCN9072|DSCN9304|DSCN0335|DSCN0121|DSCN1997|DSCN1996|DSCN0246|DSCN8974|DSCN9101|DSCN9061|DSCN0279|DSCN9047|DSCN9046|DSCN9124|DSCN8979|DSCN8978|DSCN9045|DSCN2448|DSCN0263|DSCN0515|DSCN9055|DSCN0104|DSCN2103|DSCN9056|DSCN8995|DSCN1999|DSCN9030|DSCN9346|DSCN2038|DSCN9219|DSCN9033|DSCN2012
hüccet|summary,hüccet,DSCN1883|DSCN0169|DSCN1921|DSCN1841|DSCN1699|DSCN1739|DSCN0989|DSCN0423|DSCN0350|DSCN0387|DSCN0232|DSCN1925|DSCN1837|DSCN0491|DSCN1764|DSCN0916|DSCN1820|DSCN0479|DSCN1014|DSCN1766|DSCN0336|DSCN0646|DSCN9317|DSCN1830|DSCN0907|DSCN0513|DSCN0329|DSCN0499|DSCN1963|DSCN1811|DSCN1839|DSCN1967|DSCN0477|DSCN1741|DSCN1782|DSCN0955|DSCN0410|DSCN0377|DSCN1900|DSCN0968|DSCN1718|DSCN0980|DSCN9157|DSCN0615|DSCN0601|DSCN1680|DSCN0575|DSCN0978|DSCN1723|DSCN0951
sened,sened,DSCN9207|DSCN0747|DSCN9212|DSCN9206|DSCN9205|DSCN9201|DSCN9200|DSCN9202|DSCN9203|DSCN2495|DSCN2483|DSCN2497|DSCN2493|DSCN2487|DSCN2491|DSCN2485|DSCN1749|DSCN2489|DSCN2501|DSCN0661|DSCN2499|DSCN0748|DSCN9209
mürāsele,mürāsele,DSCN2408|DSCN9005|DSCN2018|DSCN2031|DSCN2025|DSCN2353|DSCN2033|DSCN2037|DSCN2433|DSCN9029|DSCN2356|DSCN2430|DSCN2418|DSCN2457|DSCN2325|DSCN2047|DSCN2286|DSCN2251|DSCN1016|DSCN2278|DSCN9305|DSCN2442|DSCN0255|DSCN0280|DSCN2326|DSCN1969|DSCN2451|DSCN1992|DSCN1993|DSCN2450|DSCN2322|DSCN2241|DSCN2080|DSCN2304|DSCN2270|DSCN2461|DSCN1021|DSCN2070|DSCN2458|DSCN2471|DSCN0264|DSCN9081|DSCN1998|DSCN2102|DSCN0259|DSCN2415|DSCN2373|DSCN2010|DSCN2414|DSCN9344|DSCN2198|DSCN2407|DSCN2413|DSCN0991|DSCN2389|DSCN2202|DSCN2015|DSCN2377
buyuruldu|iʿlām|summary|ʿarzıhāl,ʿarzıhāl|,DSCN1673|DSCN0556|DSCN1844|DSCN0832
fetvā,fetvā,DSCN2187|DSCN0209|DSCN0081|DSCN9312|DSCN0120|DSCN1914|DSCN9195|DSCN2189
buyuruldu|mürāsele,mürāsele,DSCN0974|DSCN0490|DSCN0498
buyuruldu|iʿlām|summary,iʿlām,DSCN0633|DSCN0636|DSCN1776|DSCN0899|DSCN0528|DSCN1768|DSCN1862
summary|tapu|tuğra,None,DSCN0155|DSCN1953|DSCN1949|DSCN0947
summary|tapu,None,DSCN0357|DSCN0296|DSCN9315|DSCN1988|DSCN1750|DSCN0129|DSCN0364
tezkire,tezkire,DSCN2226|DSCN0746|DSCN0546|DSCN2230|DSCN1675|DSCN2236|DSCN2044|DSCN2290|DSCN2294|DSCN0119|DSCN0245|DSCN2476|DSCN2265|DSCN0658|DSCN0512|DSCN2267|DSCN1960|DSCN0662|DSCN9054|DSCN9352|DSCN9192|DSCN2238|DSCN0993
unknown,unknown,DSCN9373|DSCN9366|DSCN0829|DSCN0544|DSCN2184|DSCN2190|DSCN0383|DSCN9371|DSCN1895|DSCN0543|DSCN2208|DSCN2235|DSCN2209|DSCN9176|DSCN2427|DSCN2382|DSCN9376|DSCN0420|DSCN2424|DSCN0541|DSCN0718|DSCN0687|DSCN1943|DSCN2287|DSCN0719|DSCN0684|DSCN0848|DSCN0109|DSCN2291|DSCN9048|DSCN0736|DSCN0865|DSCN2096|DSCN9303|DSCN2256|DSCN1005|DSCN2295|DSCN0864|DSCN0737|DSCN2308|DSCN0709|DSCN0721|DSCN2057|DSCN0697|DSCN2335|DSCN2098|DSCN0704|DSCN0260|DSCN0921|DSCN2105|DSCN2065|DSCN2302|DSCN0703|DSCN0850|DSCN2289|DSCN2262|DSCN9337|DSCN8997|DSCN2288|DSCN2329|DSCN0853|DSCN0847|DSCN2261|DSCN0715|DSCN0701|DSCN0612|DSCN2213|DSCN9347|DSCN2212|DSCN0613|DSCN2210|DSCN9351|DSCN2211|DSCN1917|DSCN0764|DSCN2188|DSCN0614|DSCN2229|DSCN2215|DSCN9340|DSCN2201|DSCN9369|DSCN2374|DSCN2406|DSCN2404|DSCN0987|DSCN0415|DSCN9343|DSCN2203
fermān|summary,fermān,DSCN1060|DSCN8914|DSCN8966|DSCN8961|DSCN8953|DSCN8944|DSCN8957|DSCN8937|DSCN8934
croatian,croatian,DSCN1712|DSCN9372
summary|unknown,unknown,DSCN2233|DSCN2227|DSCN0949|DSCN2345|DSCN9360|DSCN0998|DSCN2182|DSCN8972|DSCN9107|DSCN2092|DSCN2327|DSCN9299|DSCN2323|DSCN1944|DSCN1978|DSCN2068|DSCN0133|DSCN2268|DSCN9301|DSCN1012|DSCN2106|DSCN2059|DSCN0663|DSCN1018|DSCN2049|DSCN0648|DSCN1797|DSCN9057|DSCN2300|DSCN0994|DSCN9220|DSCN9169|DSCN2216
sened|summary,sened,DSCN0342|DSCN0824|DSCN9155
nāme|summary,nāme,DSCN0381|DSCN2281|DSCN0160|DSCN0362
makbūz,makbūz,DSCN0395|DSCN0397|DSCN0396|DSCN1980|DSCN0402|DSCN0403|DSCN0398|DSCN0401|DSCN0400|DSCN0399
emin|unknown,emin,DSCN2019|DSCN2026|DSCN2040
buyuruldu|summary,buyuruldu,DSCN0626|DSCN0624|DSCN1671|DSCN8917|DSCN0620|DSCN1058|DSCN1011|DSCN8919|DSCN1734|DSCN8921
emin|stamp|summary,None,DSCN0975|DSCN0961|DSCN0976|DSCN0964
fetvā|summary,fetvā,DSCN2192|DSCN9198|DSCN2196|DSCN0391|DSCN1961|DSCN9321|DSCN9193|DSCN9196
tezkire|unknown,tezkire,DSCN2347|DSCN2393|DSCN2045|DSCN2055|DSCN2083|DSCN0247|DSCN2462|DSCN2315|DSCN2274|DSCN0113|DSCN2466|DSCN2399|DSCN2013|DSCN2228|DSCN2016
hüccet,hüccet,DSCN0550|DSCN0421|DSCN0409|DSCN1663|DSCN0493|DSCN0905|DSCN0521|DSCN0509|DSCN0456|DSCN9089|DSCN0293|DSCN0895|DSCN0511|DSCN1814|DSCN1756|DSCN1813|DSCN1755|DSCN1875|DSCN1849|DSCN9027|DSCN0412|DSCN1650|DSCN9355
defter,defter,DSCN2421|DSCN2181|DSCN2194|DSCN9161|DSCN2250|DSCN2255|DSCN2276|DSCN2076
ʿilmühaber,ʿilmühaber,DSCN1882|DSCN1705|DSCN0745|DSCN1881|DSCN0384|DSCN0743|DSCN1809|DSCN2266|DSCN1810|DSCN0765|DSCN0417
buyuruldu|iʿlām|note|summary|ʿarzıhāl,ʿarzıhāl,DSCN1869
buyuruldu|ʿarzıhāl,ʿarzıhāl,DSCN1855|DSCN1843
note|sened,None,DSCN9210
summary|ʿilmühaber,ʿilmühaber,DSCN2351|DSCN1891|DSCN0966|DSCN1701|DSCN0344|DSCN0346|DSCN0970|DSCN1893|DSCN0323|DSCN1951|DSCN1889|DSCN0822|DSCN0826|DSCN0158
buyuruldu|summary|ʿarzıhāl,ʿarzıhāl,DSCN1658|DSCN1887|DSCN8999|DSCN1001|DSCN1772|DSCN1762|DSCN0996|DSCN1736
buyuruldu|hüccet|summary,hüccet,DSCN1664|DSCN1800|DSCN0886|DSCN1877
buyuruldu|note,buyuruldu,DSCN0618
summary|tezkire,tezkire,DSCN9364|DSCN9349|DSCN9016|DSCN8929|DSCN8928|DSCN1003|DSCN2440|DSCN0082|DSCN0451|DSCN0640|DSCN2259|DSCN1793|DSCN0102|DSCN2464|DSCN2248|DSCN2401|DSCN8924|DSCN0820|DSCN9031|DSCN9036|DSCN1912
summary|yafta,yafta,DSCN2218|DSCN2224|DSCN2220|DSCN2239
summary,summary,DSCN9359|DSCN2191|DSCN0553|DSCN0453|DSCN0525|DSCN9306|DSCN0518|DSCN0483|DSCN0455|DSCN0504|DSCN0474|DSCN0476|DSCN0488|DSCN0404|DSCN0572|DSCN0574
buyuruldu,buyuruldu,DSCN0433|DSCN0619|DSCN1856|DSCN0542|DSCN9015|DSCN0915|DSCN0639|DSCN0638|DSCN0628
summary|tahvīl,tahvīl,DSCN2185|DSCN1981|DSCN0405
mektūp,mektūp,DSCN0547|DSCN0271
emin|summary|unknown,emin,DSCN2422|DSCN0972|DSCN9001|DSCN9064|DSCN0516|DSCN2063|DSCN2004|DSCN2170
note|summary|tezkire|unknown,None,DSCN2383
müzekkire|summary,müzekkire,DSCN0580
note|unknown,unknown,DSCN1885
unknown|ʿarzıhāl,iʿlām,DSCN9003|DSCN0539
kassām,kassām,DSCN0609|DSCN0909|DSCN0918|DSCN9345|DSCN2174
hüccet|summary|unknown,hüccet,DSCN1728|DSCN1752|DSCN1692
foldercover,foldercover,DSCN0422|DSCN0740|DSCN0863|DSCN8970|DSCN2478|DSCN0682|DSCN0076|DSCN2303|DSCN1973|DSCN0766|DSCN0598|DSCN2204
varaka,varaka,DSCN0754|DSCN2277|DSCN0759|DSCN0749
subhāy-ı_sıbyān,subhāy-ı_sıbyān,DSCN0768
buyuruldu|note|summary|ʿarzıhāl,ʿarzıhāl,DSCN1648|DSCN0622|DSCN0560
izin|summary,None,DSCN2369
iʿlām|summary,iʿlām,DSCN1853|DSCN1676|DSCN0569|DSCN0533|DSCN0442|DSCN1827|DSCN1746|DSCN0501|DSCN0924|DSCN0891|DSCN0565|DSCN1860|DSCN1644|DSCN0599|DSCN1642
summary|takrīr|unknown,takrīr,DSCN1851
takrīr,takrīr,DSCN1662
summary|tezkire|unknown,tezkire,DSCN2357|DSCN2066|DSCN2271|DSCN2074|DSCN0943
memhūr|summary,memhūr,DSCN2431|DSCN2264
fermān,fermān,DSCN1716
yafta,yafta,DSCN2237|DSCN2456|DSCN2273
defter|unknown,defter,DSCN2222|DSCN2111
note,note,DSCN2443|DSCN0079|DSCN2363
note|ʿilmühaber,None,DSCN0650|DSCN0654
buyuruldu|mazbata|summary,None,DSCN1957
hurūf|summary,hurūf,DSCN2292|DSCN0239
iʿlām,iʿlām,DSCN0447|DSCN0530|DSCN0537|DSCN1007|DSCN1743|DSCN0407
defter|summary,defter,DSCN1759|DSCN0665
izin,izin,DSCN2085
serbian,serbian,DSCN0902
summary|temessük,temessük,DSCN0094|DSCN2283|DSCN0115|DSCN0105
şıkka,şıkka,DSCN1836|DSCN1774|DSCN1802
hurūf,hurūf,DSCN2468|DSCN9134|DSCN2429
tahvīl,tahvīl,DSCN2285|DSCN1987
belge|summary,None,DSCN9307
note|summary|tapu|tuğra,None,DSCN1955|DSCN1786
hüccet_note|note|sign,None,DSCN2086
temessük,temessük,DSCN2482|DSCN0124
summary|tapu|tuğra|unknown,None,DSCN1789
fermān|summary|tuğra,fermān,DSCN8948|DSCN8946|DSCN8940
buyuruldu|summary|translation,None,DSCN0125
summary|unknown|şıkka,None,DSCN0092
sened|ʿilmühaber,ʿilmühaber,DSCN1824
buyuruldu|mürāsele|summary,mürāsele,DSCN1818|DSCN1757|DSCN0558
mektūp|unknown,None,DSCN0084
emin|note,emin,DSCN2081|DSCN0111
takvīm-i_vekāyi,takvīm-i_vekāyi,DSCN0669|DSCN0930
buyuruldu|note|ʿarzıhāl,ʿarzıhāl,DSCN0494|DSCN0465|DSCN0589
buyuruldu|iʿlām,iʿlām,DSCN1775|DSCN0449|DSCN1959
mürāsele|unknown,mürāsele,DSCN1985
kā'ime,kā'ime,DSCN0913
buyuruldu|hüccet,hüccet,DSCN2309
summary|unknown|ʿilmühaber,None,DSCN1816
ʿarzıhāl,ʿarzıhāl,DSCN0507|DSCN1653|DSCN1848
summary|unknown|ʿarzıhāl,ʿarzıhāl,DSCN9084
fermān|note|summary,fermān,DSCN0842
emin|note|summary,emin,DSCN9319
hatt-ı_hümāyūn,hatt-ı_hümāyūn,DSCN0466
defter|emin|summary,emin,DSCN2298
kassām|unknown,None,DSCN1009
tapu|tuğra,None,DSCN1948
gazete,gazete,DSCN0673
kâğıt|summary,None,DSCN1780
emirnāme|summary|unknown,None,DSCN1965
tapu,tapu,DSCN0489
berāt|tuğra,None,DSCN8931
unknown|şıkka,şıkka,DSCN0438
berāt|note,None,DSCN0836
fermān|summary|unknown,fermān,DSCN8926
summary|takrīr,None,DSCN1902
emirnāme|summary,None,DSCN1678
hüccet|summary|tasdīk,None,DSCN0953
mürāsele|note,mürāsele,DSCN9142|DSCN1911
defter|summary|unknown,defter,DSCN0371
buyuruldu|defter|summary,defter,DSCN0629
düstūr,düstūr,DSCN0563
nāme,nāme,DSCN1657
unknown|ʿilmühaber,ʿilmühaber,DSCN0762
iʿlām|note,iʿlām,DSCN1859
