row,converted,hutime
1024-02-15,1024-02-15,1615-03-15
1076-12-21,1076-12-21,1666-06-23
1076-12-30,1076-12-30,1666-07-02
1081-03-11,1081-03-11,1670-07-28
1081-03-20,1081-03-20,1670-08-06
1116-03-21,1116-03-21,1704-07-23
1116-03-30,1116-03-30,1704-08-01
1117-07-01,1117-07-01,1705-10-18
1120-01-11,1120-01-11,1708-04-01
1120-06-11,1120-06-11,1708-08-27
1120-06-20,1120-06-20,1708-09-05
1121-02-11,1121-02-11,1709-04-21
1124-05-01,1124-05-01,1712-06-05
1124-05-10,1124-05-10,1712-06-14
1125-05-01,1125-05-01,1713-05-25
1131,1131-12-29,1719-11-11
1131-05-28,1131-05-28,1719-04-17
1137-09-11,1137-09-11,1725-05-23
1137-09-20,1137-09-20,1725-06-01
1138-04,1138-04-29,1726-01-03
1139-12,1139-12-29,1727-08-16
1141-12-23,1141-12-23,1729-07-19
1144,1144-12-29,1732-06-22
1146,1146-12-29,1734-06-01
1148,1148-12-29,1736-05-10
1149-06-03,1149-06-03,1736-10-08
1151,1151-12-29,1739-04-08
1155-04-16,1155-04-16,1742-06-19
1156,1156-12-29,1744-02-12
1156-03,1156-03-29,1743-05-22
1156-12-21,1156-12-21,1744-02-04
1156-12-30,1156-12-30,1744-02-13
1160-01-24,1160-01-24,1747-02-04
1161-09,1161-09-29,1748-09-21
1162-02-23,1162-02-23,1749-02-11
1164,1164-12-29,1751-11-17
1166-08-08,1166-08-08,1753-06-09
1168-02-01,1168-02-01,1754-11-16
1168-05-23,1168-05-23,1755-03-06
1169-01-26,1169-01-26,1755-10-31
1171,1171-12-29,1758-09-02
1171--18,1171-12-18,1758-08-22
1171-01-11,1171-01-11,1757-09-24
1172-03-29,1172-03-29,1758-11-29
1172-06-05,1172-06-05,1759-02-02
1172-06-07,1172-06-07,1759-02-04
1173,1173-12-29,1760-08-11
1173--28,1173-12-28,1760-08-10
1173-07-05,1173-07-05,1760-02-21
1173-07-15,1173-07-15,1760-03-02
1174-01-01,1174-01-01,1760-08-12
1174-01-05,1174-01-05,1760-08-16
1175-05-25,1175-05-25,1761-12-21
1175-12-01,1175-12-01,1762-06-22
1176-01-13,1176-01-13,1762-08-03
1177-01-01,1177-01-01,1763-07-11
1177-12-30,1177-12-30,1764-06-29
1178,1178-12-29,1765-06-18
1178-01-25,1178-01-25,1764-07-24
1179,1179-12-29,1766-06-07
1179-01-22,1179-01-22,1765-07-10
1179-01-23,1179-01-23,1765-07-11
1179-06-19,1179-06-19,1765-12-02
1179-10-05,1179-10-05,1766-03-16
1180,1180-12-29,1767-05-27
1180-03-18,1180-03-18,1766-08-23
1181,1181-12-29,1768-05-16
1181-01-21,1181-01-21,1767-06-18
1181-01-22,1181-01-22,1767-06-19
1181-02-01,1181-02-01,1767-06-28
1181-02-10,1181-02-10,1767-07-07
1181-03-11,1181-03-11,1767-08-06
1181-03-20,1181-03-20,1767-08-15
1181-05-17,1181-05-17,1767-10-10
1181-06-23,1181-06-23,1767-11-15
1181-06-27,1181-06-27,1767-11-19
1182,1182-12-29,1769-05-05
1182-05-09,1182-05-09,1768-09-20
1182-07-11,1182-07-11,1768-11-20
1182-07-22,1182-07-22,1768-12-01
1182-08-21,1182-08-21,1768-12-30
1182-09-17,1182-09-17,1769-01-24
1182-11-,1182-11-29,1769-04-05
1182-11-09,1182-11-09,1769-03-16
1182-11-18,1182-11-18,1769-03-25
1183,1183-12-29,1770-04-24
1183--21,1183-12-21,1770-04-16
1184,1184-12-29,1771-04-14
1184-02-16,1184-02-16,1770-06-10
1184-05-16,1184-05-16,1770-09-06
1184-06-15,1184-06-15,1770-10-05
1184-09-13,1184-09-13,1770-12-30
1185,1185-12-29,1772-04-02
1185-01-01,1185-01-01,1771-04-15
1185-01-22,1185-01-22,1771-05-06
1186,1186-12-29,1773-03-22
1186-01-01,1186-01-01,1772-04-03
1186-01-10,1186-01-10,1772-04-12
1186-02-25,1186-02-25,1772-05-27
1186-03-01,1186-03-01,1772-06-01
1186-04-11,1186-04-11,1772-07-11
1186-04-20,1186-04-20,1772-07-20
1186-04-29,1186-04-29,1772-07-29
1187,1187-12-29,1774-03-12
1187--02,1187-12-02,1774-02-13
1187-03-01,1187-03-01,1773-05-22
1187-04-14,1187-04-14,1773-07-04
1187-07-23,1187-07-23,1773-10-09
1187-09-21,1187-09-21,1773-12-05
1188-01-01,1188-01-01,1774-03-13
1188-01-10,1188-01-10,1774-03-22
1188-01-14,1188-01-14,1774-03-26
1188-02-24,1188-02-24,1774-05-05
1188-02-29,1188-02-29,1774-05-10
1188-04-04,1188-04-04,1774-06-13
1188-05-06,1188-05-06,1774-07-14
1188-05-17,1188-05-17,1774-07-25
1188-08-25,1188-08-25,1774-10-30
1188-10-18,1188-10-18,1774-12-21
1188-10-27,1188-10-27,1774-12-30
1188-11-23,1188-11-23,1775-01-24
1189,1189-12-29,1776-02-19
1189-02-01,1189-02-01,1775-04-02
1189-02-10,1189-02-10,1775-04-11
1189-03,1189-03-29,1775-05-29
1189-03-01,1189-03-01,1775-05-01
1189-04-11,1189-04-11,1775-06-10
1189-04-20,1189-04-20,1775-06-19
1189-08-01,1189-08-01,1775-09-26
1189-09-17,1189-09-17,1775-11-10
1189-12-27,1189-12-27,1776-02-17
1190,1190-12-29,1777-02-07
1190-03-24,1190-03-24,1776-05-12
1190-04-29,1190-04-29,1776-06-16
1190-09-04,1190-09-04,1776-10-16
1191,1191-12-29,1778-01-27
1191-01,1191-01-29,1777-03-08
1191-02-05,1191-02-05,1777-03-14
1191-02-15,1191-02-15,1777-03-24
1191-02-29,1191-02-29,1777-04-07
1191-03,1191-03-29,1777-05-06
1191-04-15,1191-04-15,1777-05-22
1191-05-17,1191-05-17,1777-06-22
1191-09-17,1191-09-17,1777-10-18
1191-09-19,1191-09-19,1777-10-20
1191-09-27,1191-09-27,1777-10-28
1191-10,1191-10-29,1777-11-29
1192-02,1192-02-29,1778-03-28
1192-03-11,1192-03-11,1778-04-08
1192-03-23,1192-03-23,1778-04-20
1192-10-09,1192-10-09,1778-10-30
1193,1193-12-29,1780-01-06
1193--12,1193-12-12,1779-12-20
1193-02-04,1193-02-04,1779-02-20
1193-03-01,1193-03-01,1779-03-18
1193-05-11,1193-05-11,1779-05-26
1193-06-05,1193-06-05,1779-06-19
1194,1194-12-29,1780-12-25
1194-03-27,1194-03-27,1780-04-01
1194-04-07,1194-04-07,1780-04-11
1194-05-03,1194-05-03,1780-05-06
1194-08-02,1194-08-02,1780-08-02
1194-08-17,1194-08-17,1780-08-17
1194-08-25,1194-08-25,1780-08-25
1194-11,1194-11-29,1780-11-25
1195,1195-12-29,1781-12-15
1195-04-15,1195-04-15,1781-04-09
1195-11-20,1195-11-20,1781-11-06
1195-12-22,1195-12-22,1781-12-08
1196,1196-12-29,1782-12-04
1196-08-07,1196-08-07,1782-07-17
1196-10-01,1196-10-01,1782-09-08
1196-10-04,1196-10-04,1782-09-11
1196-11-13,1196-11-13,1782-10-19
1197,1197-12-29,1783-11-24
1197-07-14,1197-07-14,1783-06-14
1197-11-15,1197-11-15,1783-10-11
1198,1198-12-29,1784-11-12
1198--06,1198-12-06,1784-10-20
1198-01-02,1198-01-02,1783-11-26
1198-02-13,1198-02-13,1784-01-06
1198-03,1198-03-29,1784-02-20
1198-03-08,1198-03-08,1784-01-30
1198-03-15,1198-03-15,1784-02-06
1198-04-03,1198-04-03,1784-02-24
1198-04-08,1198-04-08,1784-02-29
1198-04-18,1198-04-18,1784-03-10
1198-06-14,1198-06-14,1784-05-04
1198-06-17,1198-06-17,1784-05-07
1198-11,1198-11-29,1784-10-13
1199,1199-12-29,1785-11-01
1199-02-27,1199-02-27,1785-01-08
1199-03-03,1199-03-03,1785-01-13
1199-04-08,1199-04-08,1785-02-17
1199-05-15,1199-05-15,1785-03-25
1199-06-07,1199-06-07,1785-04-16
1199-07,1199-07-29,1785-06-06
1199-07-05,1199-07-05,1785-05-13
1199-09-10,1199-09-10,1785-07-16
1199-10-18,1199-10-18,1785-08-23
1199-12-03,1199-12-03,1785-10-06
1199-12-22,1199-12-22,1785-10-25
1200-01-19,1200-01-19,1785-11-21
1200-02-04,1200-02-04,1785-12-06
1200-02-24,1200-02-24,1785-12-26
1200-02-25,1200-02-25,1785-12-27
1200-07-11,1200-07-11,1786-05-09
1200-07-24,1200-07-24,1786-05-22
1200-07-26,1200-07-26,1786-05-24
1200-08-05,1200-08-05,1786-06-02
1200-08-20,1200-08-20,1786-06-17
1200-10-11,1200-10-11,1786-08-06
1200-10-20,1200-10-20,1786-08-15
1200-11-05,1200-11-05,1786-08-29
1200-11-10,1200-11-10,1786-09-03
1200-11-22,1200-11-22,1786-09-15
1200-12-09,1200-12-09,1786-10-02
1200-12-11,1200-12-11,1786-10-04
1201,1201-12-29,1787-10-11
1201-01-03,1201-01-03,1786-10-25
1201-01-12,1201-01-12,1786-11-03
1201-01-15,1201-01-15,1786-11-06
1201-03,1201-03-29,1787-01-18
1201-05-13,1201-05-13,1787-03-02
1201-07-20,1201-07-20,1787-05-07
1201-08-06,1201-08-06,1787-05-23
1201-08-14,1201-08-14,1787-05-31
1201-09-08,1201-09-08,1787-06-23
1201-10-07,1201-10-07,1787-07-22
1201-10-08,1201-10-08,1787-07-23
1201-10-15,1201-10-15,1787-07-30
1202,1202-12-29,1788-09-29
1202-02-02,1202-02-02,1787-11-12
1202-03-01,1202-03-01,1787-12-10
1202-03-21,1202-03-21,1787-12-30
1202-04-01,1202-04-01,1788-01-09
1202-05-16,1202-05-16,1788-02-22
1202-08-23,1202-08-23,1788-05-28
1202-09-03,1202-09-03,1788-06-06
1203,1203-12-29,1789-09-19
1203-05-16,1203-05-16,1789-02-11
1203-09,1203-09-29,1789-06-22
1203-12-16,1203-12-16,1789-09-06
1204,1204-12-29,1790-09-08
1204-04-15,1204-04-15,1790-01-01
1204-04-21,1204-04-21,1790-01-07
1205,1205-12-29,1791-08-28
1205-01-15,1205-01-15,1790-09-23
1205-02-05,1205-02-05,1790-10-13
1205-02-16,1205-02-16,1790-10-24
1205-05-08,1205-05-08,1791-01-12
1205-07,1205-07-29,1791-04-02
1205-10-23,1205-10-23,1791-06-24
1205-11,1205-11-29,1791-07-29
1206,1206-12-29,1792-08-17
1206-01-07,1206-01-07,1791-09-05
1206-03-01,1206-03-01,1791-10-28
1206-03-11,1206-03-11,1791-11-07
1206-10-05,1206-10-05,1792-05-26
1206-10-13,1206-10-13,1792-06-03
1206-12-20,1206-12-20,1792-08-08
1207,1207-12-29,1793-08-06
1207-01-15,1207-01-15,1792-09-01
1208,1208-12-29,1794-07-27
1208-01,1208-01-29,1793-09-05
1208-03-01,1208-03-01,1793-10-06
1208-03-15,1208-03-15,1793-10-20
1208-03-29,1208-03-29,1793-11-03
1208-04-09,1208-04-09,1793-11-13
1208-05-23,1208-05-23,1793-12-26
1208-06-03,1208-06-03,1794-01-05
1208-06-27,1208-06-27,1794-01-29
1208-06-29,1208-06-29,1794-01-31
1208-09-24,1208-09-24,1794-04-24
1208-10-18,1208-10-18,1794-05-18
1208-11-08,1208-11-08,1794-06-06
1209,1209-12-29,1795-07-16
1209-03-24,1209-03-24,1794-10-18
1209-05-27,1209-05-27,1794-12-19
1209-07-23,1209-07-23,1795-02-12
1209-08-26,1209-08-26,1795-03-17
1209-09-22,1209-09-22,1795-04-11
1210,1210-12-29,1796-07-04
1210-01-11,1210-01-11,1795-07-27
1210-01-15,1210-01-15,1795-07-31
1210-01-20,1210-01-20,1795-08-05
1210-03-01,1210-03-01,1795-09-14
1210-04-18,1210-04-18,1795-10-31
1210-10-21,1210-10-21,1796-04-28
1210-12-21,1210-12-21,1796-06-26
1211-01-06,1211-01-06,1796-07-11
1211-04-13,1211-04-13,1796-10-15
1211-05-20,1211-05-20,1796-11-20
1211-08-15,1211-08-15,1797-02-12
1211-09-11,1211-09-11,1797-03-09
1211-09-12,1211-09-12,1797-03-10
1211-09-15,1211-09-15,1797-03-13
1212,1212-12-29,1798-06-13
1212-03-01,1212-03-01,1797-08-23
1212-06-11,1212-06-11,1797-11-30
1212-10-02,1212-10-02,1798-03-19
1212-10-08,1212-10-08,1798-03-25
1212-10-19,1212-10-19,1798-04-05
1212-11-28,1212-11-28,1798-05-13
1213,1213-12-29,1799-06-02
1213-03-01,1213-03-01,1798-08-12
1213-03-05,1213-03-05,1798-08-16
1213-03-18,1213-03-18,1798-08-29
1213-08-15,1213-08-15,1799-01-21
1214,1214-12-29,1800-05-23
1214-02-26,1214-02-26,1799-07-29
1214-03-01,1214-03-01,1799-08-02
1214-05-14,1214-05-14,1799-10-13
1214-07-11,1214-07-11,1799-12-08
1215,1215-12-29,1801-05-12
1215-02-29,1215-02-29,1800-07-21
1215-03,1215-03-29,1800-08-19
1215-08-24,1215-08-24,1801-01-09
1216,1216-12-29,1802-05-01
1216-01,1216-01-29,1801-06-10
1216-01-11,1216-01-11,1801-05-23
1216-01-13,1216-01-13,1801-05-25
1216-01-23,1216-01-23,1801-06-04
1216-01-27,1216-01-27,1801-06-08
1216-02,1216-02-29,1801-07-10
1216-03-01,1216-03-01,1801-07-11
1216-04-05,1216-04-05,1801-08-14
1216-06-01,1216-06-01,1801-10-08
1216-06-18,1216-06-18,1801-10-25
1216-06-25,1216-06-25,1801-11-01
1216-12-27,1216-12-27,1802-04-29
1217-01-11,1217-01-11,1802-05-13
1217-01-15,1217-01-15,1802-05-17
1217-01-25,1217-01-25,1802-05-27
1217-03,1217-03-29,1802-07-29
1218,1218-12-29,1804-04-09
1218--23,1218-12-23,1804-04-03
1218-01-05,1218-01-05,1803-04-26
1218-02,1218-02-29,1803-06-19
1218-04,1218-04-29,1803-08-17
1218-04-16,1218-04-16,1803-08-04
1218-04-18,1218-04-18,1803-08-06
1218-07-17,1218-07-17,1803-11-01
1218-08-03,1218-08-03,1803-11-17
1219,1219-12-29,1805-03-30
1219-05-19,1219-05-19,1804-08-25
1219-11-3,1219-11-3,1805-02-02
1220-04-05,1220-04-05,1805-07-02
1220-05-07,1220-05-07,1805-08-02
1220-08-14,1220-08-14,1805-11-06
1220-10-15,1220-10-15,1806-01-05
1220-11-19,1220-11-19,1806-02-07
1221-02-19,1221-02-19,1806-05-07
1221-12-25,1221-12-25,1807-03-04
1222,1222-12-29,1808-02-26
1222-04-03,1222-04-03,1807-06-09
1222-05-07,1222-05-07,1807-07-12
1222-05-09,1222-05-09,1807-07-14
1222-05-21,1222-05-21,1807-07-26
1222-05-29,1222-05-29,1807-08-03
1222-06-05,1222-06-05,1807-08-09
1222-09-05,1222-09-05,1807-11-05
