row,converted,hutime
1222-09-07,1222-09-07,1807-11-07
1222-10-12,1222-10-12,1807-12-12
1223,1223-12-29,1809-02-14
1223-06-05,1223-06-05,1808-07-28
1224,1224-12-29,1810-02-03
1224-01-28,1224-01-28,1809-03-14
1224-11-05,1224-11-05,1809-12-11
1225,1225-12-29,1811-01-24
1225-01-15,1225-01-15,1810-02-19
1225-03-01,1225-03-01,1810-04-05
1225-03-27,1225-03-27,1810-05-01
1225-10-27,1225-10-27,1810-11-24
1225-11-15,1225-11-15,1810-12-11
1227,1227-12-29,1813-01-02
1227-03-01,1227-03-01,1812-03-14
1228-03,1228-03-29,1813-03-31
1228-08-11,1228-08-11,1813-08-08
1229,1229-12-29,1814-12-11
1229-02,1229-02-29,1814-02-19
1229-07-09,1229-07-09,1814-06-26
1229-11-01,1229-11-01,1814-10-14
1230,1230-12-29,1815-12-01
1230-03-01,1230-03-01,1815-02-10
1230-08-11,1230-08-11,1815-07-18
1231,1231-12-29,1816-11-19
1231-02-,1231-02-29,1816-01-29
1231-02-15,1231-02-15,1816-01-15
1231-04-20,1231-04-20,1816-03-19
1231-05-25,1231-05-25,1816-04-22
1231-08-01,1231-08-01,1816-06-26
1231-09-19,1231-09-19,1816-08-12
1232,1232-12-29,1817-11-08
1232--11,1232-12-11,1817-10-21
1232-06-27,1232-06-27,1817-05-13
1232-12-11,1232-12-11,1817-10-21
1233,1233-12-29,1818-10-29
1233-01-25,1233-01-25,1817-12-04
1233-03,1233-03-29,1818-02-05
1233-05-10,1233-05-10,1818-03-17
1233-06-11,1233-06-11,1818-04-17
1233-07-25,1233-07-25,1818-05-30
1233-11-10,1233-11-10,1818-09-10
1233-11-14,1233-11-14,1818-09-14
1234,1234-12-29,1819-10-18
1234--11,1234-12-11,1819-09-30
1234-01-17,1234-01-17,1818-11-15
1234-08-03,1234-08-03,1819-05-27
1234-09-16,1234-09-16,1819-07-08
1234-10-03,1234-10-03,1819-07-25
1235,1235-12-29,1820-10-06
1235-01-29,1235-01-29,1819-11-16
1235-04-03,1235-04-03,1820-01-18
1235-04-15,1235-04-15,1820-01-30
1235-05-07,1235-05-07,1820-02-20
1235-06-07,1235-06-07,1820-03-21
1235-07,1235-07-29,1820-05-11
1235-07-07,1235-07-07,1820-04-19
1235-07-15,1235-07-15,1820-04-27
1235-11-27,1235-11-27,1820-09-04
1235-12-25,1235-12-25,1820-10-02
1236,1236-12-29,1821-09-26
1236--23,1236-12-23,1821-09-20
1236-01-03,1236-01-03,1820-10-10
1236-03-07,1236-03-07,1820-12-12
1236-06-01,1236-06-01,1821-03-05
1236-06-29,1236-06-29,1821-04-02
1236-07-21,1236-07-21,1821-04-23
1237,1237-12-29,1822-09-15
1237-02-23,1237-02-23,1821-11-18
1237-04-07,1237-04-07,1821-12-31
1237-04-21,1237-04-21,1822-01-14
1237-08-05,1237-08-05,1822-04-26
1237-12-07,1237-12-07,1822-08-24
1238,1238-12-29,1823-09-05
1238-01-07,1238-01-07,1822-09-23
1238-03-11,1238-03-11,1822-11-25
1238-03-15,1238-03-15,1822-11-29
1238-08-29,1238-08-29,1823-05-10
1238-11-01,1238-11-01,1823-07-09
1238-11-05,1238-11-05,1823-07-13
1239,1239-12-29,1824-08-24
1239-01-03,1239-01-03,1823-09-08
1239-03-27,1239-03-27,1823-11-30
1239-05-07,1239-05-07,1824-01-08
1239-10-25,1239-10-25,1824-06-22
1240,1240-12-29,1825-08-13
1240-05-17,1240-05-17,1825-01-06
1240-06-01,1240-06-01,1825-01-20
1240-06-16,1240-06-16,1825-02-04
1240-08-10,1240-08-10,1825-03-29
1240-09-27,1240-09-27,1825-05-14
1240-12-27,1240-12-27,1825-08-11
1241,1241-12-29,1826-08-03
1241-01-13,1241-01-13,1825-08-27
1241-01-17,1241-01-17,1825-08-31
1241-03-08,1241-03-08,1825-10-20
1241-03-25,1241-03-25,1825-11-06
1241-04-07,1241-04-07,1825-11-18
1241-04-21,1241-04-21,1825-12-02
1241-05-17,1241-05-17,1825-12-27
1241-09-21,1241-09-21,1826-04-28
1241-09-25,1241-09-25,1826-05-02
1241-10-15,1241-10-15,1826-05-22
1241-10-27,1241-10-27,1826-06-03
1242-03-27,1242-03-27,1826-10-28
1242-11-21,1242-11-21,1827-06-15
1242-12-24,1242-12-24,1827-07-18
1243,1243-12-29,1828-07-11
1243-05-07,1243-05-07,1827-11-25
1243-08-27,1243-08-27,1828-03-13
1243-08-28,1243-08-28,1828-03-14
1243-09-04,1243-09-04,1828-03-19
1244,1244-12-29,1829-07-01
1244-02-08,1244-02-08,1828-08-19
1244-06-04,1244-06-04,1828-12-11
1244-06-27,1244-06-27,1829-01-03
1244-06-29,1244-06-29,1829-01-05
1244-07-02,1244-07-02,1829-01-07
1244-07-09,1244-07-09,1829-01-14
1244-08-28,1244-08-28,1829-03-04
1244-11-09,1244-11-09,1829-05-12
1245,1245-12-29,1830-06-20
1245-03,1245-03-29,1829-09-27
1245-03-09,1245-03-09,1829-09-07
1245-11-11,1245-11-11,1830-05-03
1245-11-20,1245-11-20,1830-05-12
1246,1246-12-29,1831-06-09
1246--05,1246-12-05,1831-05-16
1246-02-09,1246-02-09,1830-07-29
1246-06-11,1246-06-11,1830-11-26
1246-08-15,1246-08-15,1831-01-28
1246-08-25,1246-08-25,1831-02-07
1247,1247-12-29,1832-05-29
1247-07-20,1247-07-20,1831-12-24
1247-08-21,1247-08-21,1832-01-24
1247-12-20,1247-12-20,1832-05-20
1248,1248-12-29,1833-05-18
1248-02-15,1248-02-15,1832-07-13
1248-03-18,1248-03-18,1832-08-14
1249,1249-12-29,1834-05-08
1249-03,1249-03-29,1833-08-15
1249-03-03,1249-03-03,1833-07-20
1249-05-29,1249-05-29,1833-10-13
1249-08-27,1249-08-27,1834-01-08
1249-12-23,1249-12-23,1834-05-02
1250,1250-12-29,1835-04-27
1250-01-07,1250-01-07,1834-05-15
1250-03-28,1250-03-28,1834-08-03
1250-06,1250-06-29,1834-11-01
1250-08-23,1250-08-23,1834-12-24
1251,1251-12-29,1836-04-15
1251-02-07,1251-02-07,1835-06-03
1251-04-07,1251-04-07,1835-08-01
1251-07-21,1251-07-21,1835-11-11
1252,1252-12-29,1837-04-05
1252-08-29,1252-08-29,1836-12-08
1253,1253-12-29,1838-03-25
1253-01-27,1253-01-27,1837-05-02
1253-02-25,1253-02-25,1837-05-30
1253-06-21,1253-06-21,1837-09-21
1253-07,1253-07-29,1837-10-28
1253-08-13,1253-08-13,1837-11-11
1253-09-28,1253-09-28,1837-12-25
1253-11-10,1253-11-10,1838-02-04
1254,1254-12-29,1839-03-14
1254-01-09,1254-01-09,1838-04-03
1254-01-17,1254-01-17,1838-04-11
1254-07,1254-07-29,1838-10-17
1254-08-03,1254-08-03,1838-10-21
1254-10,1254-10-29,1839-01-14
1254-11-20,1254-11-20,1839-02-03
1254-12-19,1254-12-19,1839-03-04
1254-12-21,1254-12-21,1839-03-06
1255-02-17,1255-02-17,1839-05-01
1255-02-21,1255-02-21,1839-05-05
1255-03,1255-03-29,1839-06-11
1255-03-22,1255-03-22,1839-06-04
1255-07-13,1255-07-13,1839-09-21
1255-08-05,1255-08-05,1839-10-13
1255-10-06,1255-10-06,1839-12-12
1255-10-16,1255-10-16,1839-12-22
1255-10-22,1255-10-22,1839-12-28
1256,1256-12-29,1841-02-20
1256-01-10,1256-01-10,1840-03-13
1256-02-24,1256-02-24,1840-04-26
1256-03-13,1256-03-13,1840-05-14
1256-04-22,1256-04-22,1840-06-22
1256-11-09,1256-11-09,1841-01-01
1257,1257-12-29,1842-02-10
1257--11,1257-12-11,1842-01-23
1257-03-24,1257-03-24,1841-05-15
1257-07-07,1257-07-07,1841-08-24
1257-07-21,1257-07-21,1841-09-07
1257-08,1257-08-29,1841-10-15
1258,1258-12-29,1843-01-30
1258-05-18,1258-05-18,1842-06-26
1258-09-15,1258-09-15,1842-10-19
1258-09-18,1258-09-18,1842-10-22
1258-09-19,1258-09-19,1842-10-23
1258-11-25,1258-11-25,1842-12-27
1259,1259-12-29,1844-01-19
1259-03-08,1259-03-08,1843-04-07
1259-09-04,1259-09-04,1843-09-27
1259-09-25,1259-09-25,1843-10-18
1259-10-28,1259-10-28,1843-11-20
1259-11-08,1259-11-08,1843-11-29
1259-12-01,1259-12-01,1843-12-22
1260,1260-12-29,1845-01-08
1260-04-25,1260-04-25,1844-05-13
1260-07-19,1260-07-19,1844-08-03
1260-08-20,1260-08-20,1844-09-03
1260-10-16,1260-10-16,1844-10-28
1260-12-25,1260-12-25,1845-01-04
1261,1261-12-29,1845-12-28
1261--21,1261-12-21,1845-12-20
1261-08-01,1261-08-01,1845-08-04
1262-05-05,1262-05-05,1846-04-30
1262-06-05,1262-06-05,1846-05-30
1262-09-19,1262-09-19,1846-09-09
1262-11-13,1262-11-13,1846-11-01
1263,1263-12-29,1847-12-07
1263-01-11,1263-01-11,1846-12-29
1263-08-27,1263-08-27,1847-08-09
1263-09,1263-09-29,1847-09-09
1263-10-02,1263-10-02,1847-09-12
1263-10-20,1263-10-20,1847-09-30
1264,1264-12-29,1848-11-25
1264-01,1264-01-29,1848-01-05
1264-02-18,1264-02-18,1848-01-24
1264-03-22,1264-03-22,1848-02-26
1264-04-17,1264-04-17,1848-03-22
1264-04-21,1264-04-21,1848-03-26
1264-10-21,1264-10-21,1848-09-19
1264-11-01,1264-11-01,1848-09-28
1265,1265-12-29,1849-11-14
1265-09-05,1265-09-05,1849-07-24
1266,1266-12-29,1850-11-04
1266-02-15,1266-02-15,1849-12-30
1266-04-10,1266-04-10,1850-02-22
1266-10-15,1266-10-15,1850-08-23
1266-11-10,1266-11-10,1850-09-16
1266-12-25,1266-12-25,1850-10-31
1267-01-27,1267-01-27,1850-12-01
1268,1268-12-29,1852-10-13
1268-04-20,1268-04-20,1852-02-11
1268-05-18,1268-05-18,1852-03-09
1268-09-01,1268-09-01,1852-06-18
1268-09-07,1268-09-07,1852-06-24
1268-09-08,1268-09-08,1852-06-25
1268-09-10,1268-09-10,1852-06-27
1269,1269-12-29,1853-10-02
1269--26,1269-12-26,1853-09-29
1269-01-03,1269-01-03,1852-10-16
1269-06-21,1269-06-21,1853-03-31
1269-08-21,1269-08-21,1853-05-29
1269-10-27,1269-10-27,1853-08-02
1270,1270-12-29,1854-09-21
1270--15,1270-12-15,1854-09-07
1270-03-15,1270-03-15,1853-12-15
1270-03-21,1270-03-21,1853-12-21
1270-05-21,1270-05-21,1854-02-18
1270-07-01,1270-07-01,1854-03-29
1270-07-13,1270-07-13,1854-04-10
1270-07-15,1270-07-15,1854-04-12
1270-07-16,1270-07-16,1854-04-13
1270-08-01,1270-08-01,1854-04-28
1270-08-15,1270-08-15,1854-05-12
1270-09-11,1270-09-11,1854-06-06
1270-10-03,1270-10-03,1854-06-28
1270-11-22,1270-11-22,1854-08-15
1270-12-25,1270-12-25,1854-09-17
1271,1271-12-29,1855-09-11
1271-01-09,1271-01-09,1854-10-01
1271-04-03,1271-04-03,1854-12-23
1271-05-25,1271-05-25,1855-02-12
1272,1272-12-29,1856-08-30
1272-01-27,1272-01-27,1855-10-08
1272-03-11,1272-03-11,1855-11-20
1272-03-22,1272-03-22,1855-12-01
1272-03-27,1272-03-27,1855-12-06
1272-04-06,1272-04-06,1855-12-15
1272-04-22,1272-04-22,1855-12-31
1272-05-10,1272-05-10,1856-01-17
1272-07-07,1272-07-07,1856-03-13
1273,1273-12-29,1857-08-19
1273--02,1273-12-02,1857-07-23
1273-03-06,1273-03-06,1856-11-03
1273-04-09,1273-04-09,1856-12-06
1273-07-25,1273-07-25,1857-03-20
1273-08-02,1273-08-02,1857-03-27
1273-10-13,1273-10-13,1857-06-05
1273-10-14,1273-10-14,1857-06-06
1273-11-15,1273-11-15,1857-07-06
1274,1274-12-29,1858-08-09
1274-03-02,1274-03-02,1857-10-20
1274-07-09,1274-07-09,1858-02-22
1274-11-10,1274-11-10,1858-06-21
1274-12-08,1274-12-08,1858-07-19
1275-02-22,1275-02-22,1858-09-30
1275-06-,1275-06-29,1859-02-02
1275-06-19,1275-06-19,1859-01-23
1276,1276-12-29,1860-07-17
1276--30,1276-12-30,1860-07-18
1277,1277-12-29,1861-07-07
1277--05,1277-12-05,1861-06-13
1277-07-04,1277-07-04,1861-01-15
1278-02-21,1278-02-21,1861-08-27
1279,1279-12-29,1863-06-16
1280--02,1280-12-02,1864-05-08
1280--20,1280-12-20,1864-05-26
1280-08-28,1280-08-28,1864-02-06
1281,1281-12-29,1865-05-24
1281--09,1281-12-09,1865-05-04
1281-02-23,1281-02-23,1864-07-27
1281-03,1281-03-29,1864-08-31
1281-03-29,1281-03-29,1864-08-31
1281-04-05,1281-04-05,1864-09-06
1281-05-09,1281-05-09,1864-10-09
1281-10-07,1281-10-07,1865-03-04
1282,1282-12-29,1866-05-14
1283--27,1283-12-27,1867-05-01
1283-01-11,1283-01-11,1866-05-25
1283-01-29,1283-01-29,1866-06-12
1283-05-07,1283-05-07,1866-09-16
1283-08-29,1283-08-29,1867-01-05
1284,1284-12-29,1868-04-21
1284-02-03,1284-02-03,1867-06-05
1284-09-28,1284-09-28,1868-01-22
1284-10-21,1284-10-21,1868-02-14
1285--16,1285-12-16,1869-03-29
1285-08-08,1285-08-08,1868-11-23
1286,1286-12-29,1870-03-31
1286-02,1286-02-29,1869-06-09
1286-03-10,1286-03-10,1869-06-19
1286-03-23,1286-03-23,1869-07-02
1287-04-21,1287-04-21,1870-07-20
1288,1288-12-29,1872-03-09
1288--10,1288-12-10,1872-02-19
1288-03-09,1288-03-09,1871-05-28
1289,1289-12-29,1873-02-26
1289--02,1289-12-02,1873-01-30
1289--24,1289-12-24,1873-02-21
1289-02-22,1289-02-22,1872-04-30
1290-11-16,1290-11-16,1874-01-04
1292--20,1292-12-20,1876-01-16
1293-07-04,1293-07-04,1876-07-25
1294--21,1294-12-21,1877-12-26
1294-02-18,1294-02-18,1877-03-03
1297,1297-12-29,1880-12-01
1299-08-21,1299-08-21,1882-07-07
1308,1308-12-29,1891-08-04
1328,1328-12-29,1910-12-31
1334,1334-12-29,1916-10-26
1353-08-02,1353-08-02,1934-11-09
1182-08-30,1182-08-29,1769-01-07
1187-02-30,1187-02-29,1773-05-21
1194-02-30,1194-02-29,1780-03-05
1211-02-30,1211-02-29,1796-09-02
1217-02-30,1217-02-29,1802-06-30
1226-02-30,1226-02-29,1811-03-24
1228-02-30,1228-02-29,1813-03-02
1231-02-30,1231-02-29,1816-01-29
1269-06-30,1269-06-29,1853-04-08
1269-08-30,1269-08-29,1853-06-06
1299-08-30,1299-08-29,1882-07-15
975-03-01,975-03-01,1567-09-04
975-03-10,975-03-10,1567-09-13
