id,title,date
zone_sbt_drw_cjb,DSCN1883#zone_sbt_drw_cjb,"fi'l-yevmi'l-sābʿa min şehr Cemaziye'l-evvel sene isnā ve ʿaşrīn
ve mieteyn baʿde'l-elif"
zone_rgj_krw_cjb,DSCN1883#zone_rgj_krw_cjb,1807
zone_pd5_4fk_kjb,DSCN0237#zone_pd5_4fk_kjb,bin iki yüz üç senesine
zone_vgf_rfk_kjb,DSCN0237#zone_vgf_rfk_kjb,1789
zone_a1q_rbx_1jb,DSCN1673#zone_a1q_rbx_1jb,
zone_fls_5bx_1jb,DSCN1673#zone_fls_5bx_1jb,29 Ra 172
zone_bj5_wbx_1jb,DSCN1673#zone_bj5_wbx_1jb,5 Rebī'ü'l-āhir sene 1172
zone_xfg_1cx_1jb,DSCN1673#zone_xfg_1cx_1jb,7 R 172
zone_imk_ccx_1jb,DSCN1673#zone_imk_ccx_1jb,
zone_t1l_y53_1jb,DSCN0974#zone_t1l_y53_1jb,Rebiü'l-evvel sene 1198
zone_zbt_z53_1jb,DSCN0974#zone_zbt_z53_1jb,13 S sene 198
zone_zbq_2yt_3jb,DSCN0196#zone_zbq_2yt_3jb,15 L sene 66
zone_ygc_3yt_3jb,DSCN0196#zone_ygc_3yt_3jb,1266
zone_rck_ssm_3jb,DSCN0182#zone_rck_ssm_3jb,bin iki yüz altmış beş senesinde
zone_ojd_wsm_3jb,DSCN0182#zone_ojd_wsm_3jb,1849
zone_bt1_3nd_fjb,DSCN0155#zone_bt1_3nd_fjb,11 Ra sene 1272
zone_pwd_jnd_fjb,DSCN0155#zone_pwd_jnd_fjb,
zone_pns_lnd_fjb,DSCN0155#zone_pns_lnd_fjb,1877
zone_a4h_4pw_2jb,DSCN0141#zone_a4h_4pw_2jb,sene 66
zone_nnh_qpw_2jb,DSCN0141#zone_nnh_qpw_2jb,1851
zone_rgm_gsd_fjb,DSCN0169#zone_rgm_gsd_fjb,fi'l-yevmi'l-sālis min şehr Rebi'ü'l-evvel sene tisʿ ve arbaʿīn ve mieteyn ve elif
zone_jf3_lsd_fjb,DSCN0169#zone_jf3_lsd_fjb,1250
zone_bhh_4md_djb,DSCN1934#zone_bhh_4md_djb,18 N sene 258
zone_sbh_smd_djb,DSCN1934#zone_sbh_smd_djb,
zone_kbl_l2x_cjb,DSCN1908#zone_kbl_l2x_cjb,20 Zi'l-hicce sene 1206
zone_qjz_n2x_cjb,DSCN1908#zone_qjz_n2x_cjb,1792
zone_zxb_g4r_kkb,DSCN0357#zone_zxb_g4r_kkb,... sene 1272
zone_tqf_j4r_kkb,DSCN0357#zone_tqf_j4r_kkb,1877
zone_ody_mck_1jb,DSCN1060#zone_ody_mck_1jb,1299-08-21
zone_ddj_tck_1jb,DSCN1060#zone_ddj_tck_1jb,1853
zone_ldt_n22_bjb,DSCN1712#zone_ldt_n22_bjb,
zone_mqw_5sl_kkb,DSCN0342#zone_mqw_5sl_kkb,6 R sene 73
zone_eh3_ysl_kkb,DSCN0342#zone_eh3_ysl_kkb,1856
zone_yfl_l5x_cjb,DSCN1921#zone_yfl_l5x_cjb,"yevmi'l-tāsiʿ min şehr Zi'l-kaʿade sene
                  sitte ve hamsīn ve mieteyn
ve elif"
zone_mzk_p5x_cjb,DSCN1921#zone_mzk_p5x_cjb,1841
zone_qvx_25w_2jb,DSCN0154#zone_qvx_25w_2jb,1235
zone_b3x_g5w_2jb,DSCN0154#zone_b3x_g5w_2jb,1820
zone_ufg_g2f_z3b,DSCN0975#zone_ufg_g2f_z3b,1228-03
zone_dxr_5t3_1jb,DSCN0975#zone_dxr_5t3_1jb,
zone_aql_wt3_1jb,DSCN0975#zone_aql_wt3_1jb,
zone_z3b_xt3_1jb,DSCN0975#zone_z3b_xt3_1jb,1873
zone_rsg_lrz_y3b,DSCN0961#zone_rsg_lrz_y3b,10 Ca 1233
zone_uls_nrz_y3b,DSCN0961#zone_uls_nrz_y3b,1233
zone_ydg_yyj_1jb,DSCN0961#zone_ydg_yyj_1jb,10 Ca 1233
zone_a5c_1zj_1jb,DSCN0961#zone_a5c_1zj_1jb,
zone_fcy_1zj_1jb,DSCN0961#zone_fcy_1zj_1jb,1233
zone_h1h_bdz_y3b,DSCN0949#zone_h1h_bdz_y3b,27 Muharrem sene 72
zone_tnj_2dz_y3b,DSCN0949#zone_tnj_2dz_y3b,
zone_qyz_gfk_kjb,DSCN0236#zone_qyz_gfk_kjb,sene 236
zone_r4k_zck_kjb,DSCN0222#zone_r4k_zck_kjb,sene 1214
zone_lhw_bdk_kjb,DSCN0222#zone_lhw_bdk_kjb,1214
zone_g4r_jqw_cjb,DSCN1882#zone_g4r_jqw_cjb,9 ... sene 81
zone_ub4_h1w_cjb,DSCN1869#zone_ub4_h1w_cjb,
zone_tmg_k1w_cjb,DSCN1869#zone_tmg_k1w_cjb,9 Ca sene 222
zone_gxx_l1w_cjb,DSCN1869#zone_gxx_l1w_cjb,21 sene 1222
zone_i2j_41w_cjb,DSCN1869#zone_i2j_41w_cjb,29 Ca sene 222
zone_cmm_xkq_cjb,DSCN1855#zone_cmm_xkq_cjb,27 S sene 199
zone_xfl_zkq_cjb,DSCN1855#zone_xfl_zkq_cjb,
zone_unb_dlq_cjb,DSCN1855#zone_unb_dlq_cjb,27 S sene 199
zone_ddr_s1q_cjb,DSCN1841#zone_ddr_s1q_cjb,1186-04-11
zone_b15_x1q_cjb,DSCN1841#zone_b15_x1q_cjb,1772
zone_ngr_yry_1jb,DSCN1699#zone_ngr_yry_1jb,fi'l-yevmi'l-hādā ve'l-ʿaşrīn min şehr Şevvālı'l-mükerrem sene arbaʿa ve semānīn ve mieteyn ve elif
zone_nj3_hsy_1jb,DSCN1699#zone_nj3_hsy_1jb,
zone_vjp_wnq_cjb,DSCN1857#zone_vjp_wnq_cjb,25 Ş sene 194
zone_mzg_znq_cjb,DSCN1857#zone_mzg_znq_cjb,1780
zone_xht_rbq_cjb,DSCN1843#zone_xht_rbq_cjb,
zone_cjv_tbq_cjb,DSCN1843#zone_cjv_tbq_cjb,27 Ş sene 241
zone_lsh_2pk_1jb,DSCN1658#zone_lsh_2pk_1jb,
zone_uzh_2pk_1jb,DSCN1658#zone_uzh_2pk_1jb,7 Ş 196
zone_rzc_3pk_1jb,DSCN1658#zone_rzc_3pk_1jb,1782
zone_abs_mck_kjb,DSCN0220#zone_abs_mck_kjb,"bin iki yüz elli iki
                  senesinde"
zone_dtl_pck_kjb,DSCN0220#zone_dtl_pck_kjb,1837
zone_x1f_zyw_1jb,DSCN1664#zone_x1f_zyw_1jb,"yevmi'l-sābiʿ min şehr
                  Ramazāni'l-mübārek sene semān sittīn ve mieteyn ve elif"
zone_qnz_2zw_1jb,DSCN1664#zone_qnz_2zw_1jb,1268
zone_lkk_k1x_1jb,DSCN1664#zone_lkk_k1x_1jb,1268
zone_vfc_srm_3jb,DSCN0181#zone_vfc_srm_3jb,bin iki yüz altmış beş senesinde
zone_g3k_snd_djb,DSCN1937#zone_g3k_snd_djb,18 Ca sene 258
zone_gd3_xpd_djb,DSCN1937#zone_gd3_xpd_djb,
zone_thq_j3w_j3b,DSCN2218#zone_thq_j3w_j3b,7 R 194
zone_yxl_h12_bjb,DSCN1705#zone_yxl_h12_bjb,27 ... sene 1283
zone_elz_ydf_bjb,DSCN1739#zone_elz_ydf_bjb,"fi'l-yevmi'l-hāmis ve'l-ʿaşrīn
min şehr Saferi'l-... sene sitte ve semānīn ve mie ve elif"
zone_bbz_gnd_djb,DSCN1936#zone_bbz_gnd_djb,18 N sene 258
zone_qt2_kqw_2jb,DSCN0143#zone_qt2_kqw_2jb,bin iki yüz altmış senesinde
zone_wj1_4qw_2jb,DSCN0143#zone_wj1_4qw_2jb,1844
zone_gkq_mvt_3jb,DSCN0194#zone_gkq_mvt_3jb,3 Muharrem'il-harām sene 1236
zone_hhc_fwt_3jb,DSCN0194#zone_hhc_fwt_3jb,1236
zone_upd_1mf_z3b,DSCN0989#zone_upd_1mf_z3b,şehr Receb sene hıms ve salāsīn ve miyetein ve elif
zone_tbt_2mf_z3b,DSCN0989#zone_tbt_2mf_z3b,
zone_cm2_rj3_1jb,DSCN0989#zone_cm2_rj3_1jb,şehr Receb sene hımıs ve selāsīn ve mieteyn ve elif
zone_izf_vj3_1jb,DSCN0989#zone_izf_vj3_1jb,
zone_jh2_r2f_z3b,DSCN0976#zone_jh2_r2f_z3b,1217-03
zone_xbx_s2f_z3b,DSCN0976#zone_xbx_s2f_z3b,1803
zone_kqh_bs3_1jb,DSCN0976#zone_kqh_bs3_1jb,"bin
ikiyüz on yedi senesinde Martı"
zone_zcd_ds3_1jb,DSCN0976#zone_zcd_ds3_1jb,
zone_kqn_2s3_1jb,DSCN0976#zone_kqn_2s3_1jb,1803
zone_bmx_gc3_j3b,DSCN2185#zone_bmx_gc3_j3b,
zone_sxs_l1k_kjb,DSCN0209#zone_sxs_l1k_kjb,
zone_iy3_1bx_1jb,DSCN1671#zone_iy3_1bx_1jb,5 Ca sene 62
zone_mpy_cbx_1jb,DSCN1671#zone_mpy_cbx_1jb,
zone_ovq_2pw_cjb,DSCN1881#zone_ovq_2pw_cjb,16 ... sene 1285
zone_rhl_jmq_cjb,DSCN1856#zone_rhl_jmq_cjb,8 L sene 201
zone_wbh_vgq_cjb,DSCN1846#zone_wbh_vgq_cjb,bin yüz sekisen sekiz senesinde māh-ı Şevvālü'l-mükerremin yiğirmi yedinci gününde
zone_f4l_zgq_cjb,DSCN1846#zone_f4l_zgq_cjb,
zone_ebb_mdx_1jb,DSCN1675#zone_ebb_mdx_1jb,27 Ş sene 63
zone_jhv_4ww_cjb,DSCN1891#zone_jhv_4ww_cjb, sene 12
zone_u3j_vww_cjb,DSCN1891#zone_u3j_vww_cjb,
zone_fny_jsw_cjb,DSCN1885#zone_fny_jsw_cjb,
zone_icg_4sw_cjb,DSCN1885#zone_icg_4sw_cjb,
zone_wcd_psw_cjb,DSCN1885#zone_wcd_psw_cjb,
zone_nsq_fdf_z3b,DSCN0972#zone_nsq_fdf_z3b,sene fī 15 Safer sene 1191
zone_xsv_3df_z3b,DSCN0972#zone_xsv_3df_z3b,1777
zone_qsq_jdf_z3b,DSCN0972#zone_qsq_jdf_z3b,
zone_ggj_fpj_1jb,DSCN0972#zone_ggj_fpj_1jb,15 Safer 1191
zone_ik2_hpj_1jb,DSCN0972#zone_ik2_hpj_1jb,
zone_m4b_3pj_1jb,DSCN0972#zone_m4b_3pj_1jb,
zone_b4x_3tz_y3b ,DSCN0966#zone_b4x_3tz_y3b #zone_dcb_vvj_1jb,8 Z 74
zone_j2r_ltz_y3b ,DSCN0966#zone_j2r_ltz_y3b #zone_t2z_xvj_1jb,1274
zone_cw1_5tm_3jb,DSCN0184#zone_cw1_5tm_3jb,10 R sene 266
zone_uj2_ytm_3jb,DSCN0184#zone_uj2_ytm_3jb,1266
zone_bkv_zst_3jb,DSCN0190#zone_bkv_zst_3jb,20 Ş sene 1260
zone_g4c_ftt_3jb,DSCN0190#zone_g4c_ftt_3jb,1260
zone_bw1_xrw_2jb,DSCN0147#zone_bw1_xrw_2jb,16 Şevvāl sene 1260
zone_edj_1sw_2jb,DSCN0147#zone_edj_1sw_2jb,
zone_jp1_rld_djb,DSCN1932#zone_jp1_rld_djb,
zone_ftp_tld_djb,DSCN1932#zone_ftp_tld_djb,1843
zone_zrh_5ty_1jb,DSCN1701#zone_zrh_5ty_1jb,27 ... sene 1283
zone_i5l_h5y_1jb,DSCN1701#zone_i5l_h5y_1jb,
zone_v44_wmr_kkb,DSCN0350#zone_v44_wmr_kkb,"fi'l-yevmi'l-sālis min şehr-i Rebi'ü'l-evvel sene tisʿ ve arbaʿīn ve mieteyin
          ve elif"
zone_dwb_cnr_kkb,DSCN0350#zone_dwb_cnr_kkb,1833
zone_jxq_lm2_bjb,DSCN1728#zone_jxq_lm2_bjb,"fi'l-yevm
el-rābīʿ ve'l-ʿaşr min şehr Şaʿabānı'l-muʿazzam sene
ʿaşrīn ve mieteyn ve elif"
zone_zsl_sm2_bjb,DSCN1728#zone_zsl_sm2_bjb,
zone_rjp_tm2_bjb,DSCN1728#zone_rjp_tm2_bjb,
zone_vg2_k3r_kkb,DSCN0344#zone_vg2_k3r_kkb,27 R sene 72
zone_dwg_r3r_kkb,DSCN0344#zone_dwg_r3r_kkb,1856
zone_e4t_kgz_djb,DSCN8917#zone_e4t_kgz_djb,18 L 199
zone_rrp_ngz_djb,DSCN8917#zone_rrp_ngz_djb,24. avgust 1785.
zone_hym_rzf_z3b,DSCN0998#zone_hym_rzf_z3b,27 Ra 25
zone_tlb_vzf_z3b,DSCN0998#zone_tlb_vzf_z3b,1834
zone_y1d_3dk_kjb,DSCN0224#zone_y1d_3dk_kjb,sene 248
zone_d5r_ldk_kjb,DSCN0224#zone_d5r_ldk_kjb,1832
zone_d2h_xhq_h3b,DSCN9200#zone_d2h_xhq_h3b,sene 1266
zone_tzd_fjk_1jb,DSCN1648#zone_tzd_fjk_1jb,3 Ra 199
zone_atp_5jk_1jb,DSCN1648#zone_atp_5jk_1jb,
zone_oln_vjk_1jb,DSCN1648#zone_oln_vjk_1jb,3 Ra 199
zone_zc2_2lk_1jb,DSCN1648#zone_zc2_2lk_1jb,
zone_rbq_clk_1jb,DSCN1648#zone_rbq_clk_1jb,
zone_pt3_f2k_kjb,DSCN0230#zone_pt3_f2k_kjb,"bin iki yüz elli bir
                  senesinde"
zone_ev4_32k_kjb,DSCN0230#zone_ev4_32k_kjb,1251
zone_bll_1ck_kjb,DSCN0218#zone_bll_1ck_kjb,sene 66
zone_wg4_2ck_kjb,DSCN0218#zone_wg4_2ck_kjb,g. 1266
zone_rpr_fkq_cjb,DSCN1853#zone_rpr_fkq_cjb,5 Ra sene 1213
zone_d23_3kq_cjb,DSCN1853#zone_d23_3kq_cjb,
zone_i3p_bgw_cjb,DSCN1879#zone_i3p_bgw_cjb,20 Şaʿabān sene 1200
zone_plt_dgw_cjb,DSCN1879#zone_plt_dgw_cjb,
zone_igv_z3q_cjb,DSCN1851#zone_igv_z3q_cjb,8 Za sene 1208
zone_ryj_2jq_cjb,DSCN1851#zone_ryj_2jq_cjb,
zone_bxx_cjq_cjb,DSCN1851#zone_bxx_cjq_cjb,1794
zone_lfd_qxw_1jb,DSCN1662#zone_lfd_qxw_1jb,
zone_zxd_d2x_1jb,DSCN1676#zone_zxd_d2x_1jb,5 Ca 262
zone_ahc_n2x_1jb,DSCN1676#zone_ahc_n2x_1jb,
zone_tyr_pdk_kjb,DSCN0226#zone_tyr_pdk_kjb,"bin iki yüz on üç
                  senesine"
zone_d5t_sdk_kjb,DSCN0226#zone_d5t_sdk_kjb,1213
zone_pmm_42k_kjb,DSCN0232#zone_pmm_42k_kjb,"fi'l-yevimi'l-vāhid ve'l-ʿaşrūn
min şehri Saferi'l-... sene semān ve sabʿīn ve mieteyn ve elif"
zone_sjl_52k_kjb,DSCN0232#zone_sjl_52k_kjb,
zone_lht_dyz_djb,DSCN8929#zone_lht_dyz_djb,15 N sene 1211
zone_d2y_hyz_djb,DSCN8929#zone_d2y_hyz_djb,14. mart 1797
zone_lcl_rtx_cjb,DSCN1919#zone_lcl_rtx_cjb,4 Z sene 159
zone_zm1_ttx_cjb,DSCN1919#zone_zm1_ttx_cjb,1843
zone_pkd_qvx_cjb,DSCN1925#zone_pkd_qvx_cjb,"yevmi'l-tāsiʿ min şehr Zi'l-kaʿade
sene sitte ve hamsīn ve mieteyn ve elif"
zone_ntq_vvx_cjb,DSCN1925#zone_ntq_vvx_cjb,1841
zone_oq3_5f2_bjb,DSCN1716#zone_oq3_5f2_bjb,
zone_ulj_4kr_kkb,DSCN0346#zone_ulj_4kr_kkb,27 R sene 72
zone_ccs_rkr_kkb,DSCN0346#zone_ccs_rkr_kkb,1856
zone_srh_mbk_1jb,DSCN1058#zone_srh_mbk_1jb,11 Ca 1193
zone_mm1_pbk_1jb,DSCN1058#zone_mm1_pbk_1jb,1193
zone_yts_1kd_djb,DSCN1930#zone_yts_1kd_djb,1 Z sene 259
zone_bpf_ckd_djb,DSCN1930#zone_bpf_ckd_djb,1843
zone_nsd_dfz_djb,DSCN8914#zone_nsd_dfz_djb,"el-yevmi'l-hāmis Saferi'l-...
sene ahadā ve tisʿīn ve mie ve elif"
zone_qn4_gfz_djb,DSCN8914#zone_qn4_gfz_djb,13. februar 1777.
zone_azq_hfz_djb,DSCN8914#zone_azq_hfz_djb,
zone_xxm_gxz_djb,DSCN8928#zone_xxm_gxz_djb,11 N sene 1211
zone_b4d_kxz_djb,DSCN8928#zone_b4d_kxz_djb,10 mart 1797
zone_bpt_3cq_h3b,DSCN9161#zone_bpt_3cq_h3b,
zone_uth_2rw_2jb,DSCN0145#zone_uth_2rw_2jb,16 Şevvāl sene 1260
zone_qjm_grw_2jb,DSCN0145#zone_qjm_grw_2jb,1844
zone_ohn_htw_2jb,DSCN0151#zone_ohn_htw_2jb,21 R sene 264
zone_fs5_ltw_2jb,DSCN0151#zone_fs5_ltw_2jb,1848
zone_wdy_qpm_3jb,DSCN0179#zone_wdy_qpm_3jb,bin iki yüz dört senesinde
zone_hcg_2qm_3jb,DSCN0179#zone_hcg_2qm_3jb,1204
zone_hgd_pvm_3jb,DSCN0186#zone_hgd_pvm_3jb,bin iki yüz yedi senesinde
zone_dvy_rvm_3jb,DSCN0186#zone_dvy_rvm_3jb,
zone_ary_d5t_3jb,DSCN0192#zone_ary_d5t_3jb,bin iki yüz krık bir senesinde
zone_b1k_h5t_3jb,DSCN0192#zone_b1k_h5t_3jb,1241
zone_ist_scf_z3b,DSCN0970#zone_ist_scf_z3b,27 Muharrem 72
zone_ryq_5cf_z3b,DSCN0970#zone_ryq_5cf_z3b,1273
zone_vnb_2qj_1jb,DSCN0970#zone_vnb_2qj_1jb,27 Muharrem 72
zone_nh1_jsz_y3b,DSCN0964#zone_nh1_jsz_y3b,21 Z 254
zone_j3c_lsz_y3b,DSCN0964#zone_j3c_lsz_y3b,1253
zone_pvb_ktj_1jb,DSCN0964#zone_pvb_ktj_1jb,21 Z 254
zone_mh1_mtj_1jb,DSCN0964#zone_mh1_mtj_1jb,
zone_wvn_mtj_1jb,DSCN0964#zone_wvn_mtj_1jb,1253
zone_e1v_fxw_cjb,DSCN1893#zone_e1v_fxw_cjb, sene 12
zone_y4z_xxw_cjb,DSCN1893#zone_y4z_xxw_cjb,
zone_vhn_mtw_cjb,DSCN1887#zone_vhn_mtw_cjb,
zone_ufk_rtw_cjb,DSCN1887#zone_ufk_rtw_cjb,5 ... sene 1246
zone_k2d_ttw_cjb,DSCN1887#zone_k2d_ttw_cjb,1830
zone_rjx_fyw_1jb,DSCN1663#zone_rjx_fyw_1jb,suls ve ʿaşrīn ve mieteyn ve elif
zone_h4s_f2y_1jb,DSCN1688#zone_h4s_f2y_1jb,3 Şaʿabān 1234
zone_wkz_32y_1jb,DSCN1688#zone_wkz_32y_1jb,
zone_ykg_hcq_cjb,DSCN1844#zone_ykg_hcq_cjb,5 M 74
zone_ilt_jcq_cjb,DSCN1844#zone_ilt_jcq_cjb,
zone_zdj_lcq_cjb,DSCN1844#zone_zdj_lcq_cjb,28 ... 173
zone_v11_ncq_cjb,DSCN1844#zone_v11_ncq_cjb,"gürre-i Muharremi'l-harām sene arbaʿ ve sabʿīn
ve mie ve elif"
zone_r2q_4cq_cjb,DSCN1844#zone_r2q_4cq_cjb,5 M 74
zone_gs5_rcq_cjb,DSCN1844#zone_gs5_rcq_cjb,
zone_u3k_xxp_cjb,DSCN1837#zone_u3k_xxp_cjb,"el-şehr Şevvāl mükerrem min yevm
ʿaşar isnā sene isnā ʿaşrīn mieteyn ve elif"
zone_gzx_y2z_k3b,DSCN0081#zone_gzx_y2z_k3b,
zone_c5m_vnw_2jb,DSCN0136#zone_c5m_vnw_2jb,bin iki yüz altmış beş senesinde
zone_hm4_b4w_2jb,DSCN0136#zone_hm4_b4w_2jb,
zone_fzn_k3v_2jb,DSCN0122#zone_fzn_k3v_2jb,bin iki yüz otuz dokuz senseinde
zone_tkg_n3v_2jb,DSCN0122#zone_tkg_n3v_2jb,1824
zone_vmf_km2_djb,DSCN1957#zone_vmf_km2_djb,
zone_g42_5m2_djb,DSCN1957#zone_g42_5m2_djb,18 S sene 64
zone_rp5_wm2_djb,DSCN1957#zone_rp5_wm2_djb,1264
zone_btp_swd_djb,DSCN1943#zone_btp_swd_djb,5 C sene 262
zone_yhp_f2p_2kb,DSCN0320#zone_yhp_f2p_2kb,21 L sene 264
zone_r3y_k2p_2kb,DSCN0320#zone_r3y_k2p_2kb,1848
zone_yfn_4vg_j3b,DSCN1980#zone_yfn_4vg_j3b,
zone_kjj_kr4_2kb,DSCN0308#zone_kjj_kr4_2kb,bin iki yüz altmış beş senesinde
zone_zvr_pr4_2kb,DSCN0308#zone_zvr_pr4_2kb,
zone_gdz_3wg_z3b,DSCN1016#zone_gdz_3wg_z3b,15 L 241
zone_tsf_2rh_cjb,DSCN1764#zone_tsf_2rh_cjb,"fi'l-yevmi'l-hādī ʿaşar min Zi'l-kaʿada'l-şerīfe sene hıms ve arbaʿīn
ve mieteyn ve elif"
zone_otc_3rh_cjb,DSCN1764#zone_otc_3rh_cjb,1830
zone_ejn_fcg_z3b,DSCN1003#zone_ejn_fcg_z3b,23 Safer sene 37
zone_c1n_3cg_z3b,DSCN1003#zone_c1n_3cg_z3b,
zone_vpd_x4h_cjb,DSCN1759#zone_vpd_x4h_cjb,
zone_bhr_y4h_cjb,DSCN1759#zone_bhr_y4h_cjb,
zone_vbv_nql_kkb,DSCN0335#zone_vbv_nql_kkb,bin iki yüz elli iki yüz senesinde
zone_vcv_5p5_2jb,DSCN8966#zone_vcv_5p5_2jb,"fi'l-yevmi'l-hāmis Receb Sene suls ve sabʿīn
                  ve mie ve elif"
zone_j3y_cq5_2jb,DSCN8966#zone_j3y_cq5_2jb,1759
zone_wry_dq5_2jb,DSCN8966#zone_wry_dq5_2jb,13. mart 1760
zone_t2z_pry_y3b,DSCN0916#zone_t2z_pry_y3b,fi'l-yevmi'l-sālis ʿaşar min Rebīʿ'l-āhir
zone_pqf_tfy_y3b,DSCN0902#zone_pqf_tfy_y3b,1776
zone_gh1_wfy_y3b,DSCN0902#zone_gh1_wfy_y3b,
zone_g44_mt5_l3b,DSCN0094#zone_g44_mt5_l3b,"şehr Rebiü'l-evvel
                  sene 1156"
zone_sg2_rt5_l3b,DSCN0094#zone_sg2_rt5_l3b,
zone_dmf_c25_xjb,DSCN0269#zone_dmf_c25_xjb,26 Şaʿabāni'l-muʿazzam sene 1209
zone_hy4_j25_xjb,DSCN0269#zone_hy4_j25_xjb,1793
zone_iwl_zqt_xjb,DSCN0255#zone_iwl_zqt_xjb,13 R sene 1211
zone_uym_dgk_kjb,DSCN0241#zone_uym_dgk_kjb,21 R sene 37
zone_pjz_ggk_kjb,DSCN0241#zone_pjz_ggk_kjb,1822
